TRANSACTION DATE,FROM ACCT,FROM NAME,FROM NO.,TRANS. TYPE,AMOUNT,FEES,E-LEVY,BAL BEFORE,BAL AFTER,TO NO.,TO NAME,TO ACCT,is_fraud,fraud_type,hour,is_weekend
2024-01-01 00:01:11.706051,USER_001915,User 001915,233397431766,TRANSFER,29.439794586182693,0.0,0.0,29.44,0.0,233313318116,Recipient_00230,ACCT_3057669,0,social_engineering,0,False
2024-01-01 00:02:22.478828,USER_001951,User 001951,233339294029,CASH_OUT,4.2,0.0,0.0,194.22,190.02,233472071268,Recipient_00344,ACCT_57755684,0,social_engineering,0,False
2024-01-01 00:02:37.173074,USER_001614,User 001614,233539085073,CASH_OUT,17.75,0.0,0.0,263.86,246.11,233470951558,Recipient_00327,ACCT_77071899,0,legitimate,0,False
2024-01-01 00:03:39.708223,USER_001938,User 001938,233505666425,TRANSFER,20.91,0.0,0.0,93.65,72.74,233423581565,Recipient_00286,ACCT_27518971,0,sim_swap,0,False
2024-01-01 00:03:51.945355,USER_000110,User 000110,233215122083,DEBIT,29.18,0.0,0.0,146.53,117.35,0,hubtel.sp,ACCT_67293833,0,legitimate,0,False
2024-01-01 00:04:17.438870,USER_000893,User 000893,233410214997,TRANSFER,5.41,0.0,0.0,318.83,313.42,233245069569,Recipient_00370,ACCT_87171878,0,legitimate,0,False
2024-01-01 00:05:59.377546,USER_001144,User 001144,233435561506,DEBIT,12.83,0.0,0.0,258.97,246.14,0,one4all.sp,ACCT_42488758,0,legitimate,0,False
2024-01-01 00:07:17.259814,USER_000910,User 000910,233289176270,CASH_OUT,27.09,0.27,0.0,269.64,242.28,233202795406,Recipient_00047,ACCT_80844502,0,legitimate,0,False
2024-01-01 00:08:20.000000,USER_001931,User 001931,233351411016,TRANSFER,18.63,0.0,0.0,336.6,317.97,233557181882,Recipient_00345,ACCT_46703841,0,sim_swap,0,False
2024-01-01 00:10:18.072988,USER_001952,User 001952,233475467549,DEBIT,31.67,0.0,0.0,178.75,147.08,0,Vodafone,ACCT_40440529,0,social_engineering,0,False
2024-01-01 00:12:55.301715,USER_001991,User 001991,233338354861,CASH_IN,113.40794406860958,0.0,0.0,0.0,113.41,0,uber.sp,ACCT_57863864,0,social_engineering,0,False
2024-01-01 00:13:53.954891,USER_000302,User 000302,233215376872,TRANSFER,54.45,0.0,0.0,218.94,164.49,233491271097,Recipient_00075,ACCT_29020529,0,legitimate,0,False
2024-01-01 00:14:30.349717,USER_001915,User 001915,233397431766,DEBIT,5.23,0.0,0.0,125.17,119.94,0,hubtel.sp,ACCT_67293833,0,social_engineering,0,False
2024-01-01 00:15:53.274747,USER_001950,User 001950,233542209242,PAYMENT_SEND,22.89,0.0,0.0,171.09,148.2,233401942574,Recipient_00226,ACCT_94053903,0,social_engineering,0,False
2024-01-01 00:16:22.000000,USER_000590,User 000590,233259262695,TRANSFER,20.13,0.0,0.0,300.45,280.32,233339598647,Recipient_00250,ACCT_75113159,0,legitimate,0,False
2024-01-01 00:17:07.000000,USER_000638,User 000638,233585023687,DEBIT,8.12,0.0,0.0,363.37,355.25,0,jumia.sp,ACCT_20240666,0,legitimate,0,False
2024-01-01 00:17:31.036327,USER_001998,User 001998,233363935446,DEBIT,1.03,0.0,0.0,108.24,107.21,0,AirtelTigo,ACCT_60585198,0,social_engineering,0,False
2024-01-01 00:17:51.000000,USER_001483,User 001483,233431647446,PAYMENT_SEND,4.04,0.0,0.0,302.99,298.95,233375729056,Recipient_00084,ACCT_82618205,0,legitimate,0,False
2024-01-01 00:19:14.615945,USER_000280,User 000280,233355286998,PAYMENT,4.45,0.0,0.0,279.66,275.21,0,uber.sp,ACCT_57863864,0,legitimate,0,False
2024-01-01 00:20:27.577097,USER_001915,User 001915,233397431766,TRANSFER,34.98,0.0,0.0,69.17,34.19,233588139357,Recipient_00410,ACCT_79628520,0,social_engineering,0,False
2024-01-01 00:20:58.343603,USER_001936,User 001936,233338561862,DEBIT,16.31,0.0,0.0,45.28,28.97,0,Vodafone,ACCT_40440529,0,sim_swap,0,False
2024-01-01 00:21:01.000000,USER_001107,User 001107,233383620271,DEBIT,17.99,0.0,0.0,371.03,353.04,0,AirtelTigo,ACCT_60585198,0,legitimate,0,False
2024-01-01 00:21:22.000000,USER_001111,User 001111,233325992061,CASH_OUT,8.5,0.0,0.0,240.04,231.54,0,AirtelTigo,ACCT_60585198,0,legitimate,0,False
2024-01-01 00:22:07.000000,USER_000592,User 000592,233577757530,PAYMENT_SEND,2.11,0.0,0.0,281.02,278.91,233567706302,Recipient_00076,ACCT_65481931,0,legitimate,0,False
2024-01-01 00:25:51.313890,USER_001998,User 001998,233363935446,CASH_OUT,35.68,0.0,0.0,386.27,350.59,233482283481,Recipient_00150,ACCT_3699886,0,social_engineering,0,False
2024-01-01 00:26:50.992901,USER_001998,User 001998,233363935446,PAYMENT,114.72,0.0,0.0,222.96,108.24,0,AirtelTigo,ACCT_60585198,0,social_engineering,0,False
2024-01-01 00:32:07.494248,USER_001950,User 001950,233542209242,PAYMENT,6.33,0.0,0.0,216.97,210.64,0,Vodafone,ACCT_40440529,0,social_engineering,0,False
2024-01-01 00:35:20.096122,USER_001879,User 001879,233318832376,TRANSFER,23.2,0.0,0.0,194.74,171.54,233250715237,Recipient_00239,ACCT_12235337,0,legitimate,0,False
2024-01-01 00:37:00.215792,USER_001853,User 001853,233444067635,TRANSFER,1.8,0.0,0.0,224.36,222.56,233499366519,Recipient_00489,ACCT_91867317,0,legitimate,0,False
2024-01-01 00:37:36.380375,USER_001895,User 001895,233424017922,TRANSFER,22.2,0.0,0.0,116.83,94.63,233496342021,Recipient_00479,ACCT_87308104,0,legitimate,0,False
2024-01-01 00:41:29.774569,USER_001936,User 001936,233338561862,DEBIT,15.99,0.0,0.0,88.12,72.13,0,AirtelTigo,ACCT_60585198,0,sim_swap,0,False
2024-01-01 00:42:12.100550,USER_000061,User 000061,233490414459,PAYMENT,26.67,0.0,0.0,352.89,326.22,0,Vodafone,ACCT_40440529,0,legitimate,0,False
2024-01-01 00:43:04.210406,USER_001938,User 001938,233505666425,TRANSFER,5.72,0.0,0.0,217.92,212.2,233356230945,Recipient_00103,ACCT_49854432,0,sim_swap,0,False
2024-01-01 00:43:33.432808,USER_001936,User 001936,233338561862,PAYMENT_SEND,163.99,0.0,0.0,209.27,45.28,233570015849,Recipient_00283,ACCT_5008041,0,sim_swap,0,False
2024-01-01 00:44:07.409459,USER_001998,User 001998,233363935446,PAYMENT_SEND,9.85,0.0,0.0,397.32,387.47,233482283481,Recipient_00150,ACCT_3699886,0,social_engineering,0,False
2024-01-01 00:44:33.964403,USER_001991,User 001991,233338354861,TRANSFER,3.47,0.0,0.0,169.3,165.83,233592155549,Recipient_00371,ACCT_15046032,0,social_engineering,0,False
2024-01-01 00:49:12.869109,USER_001032,User 001032,233232837329,TRANSFER,38.02,0.0,0.0,206.26,168.24,233532717344,Recipient_00466,ACCT_41397155,0,legitimate,0,False
2024-01-01 00:49:30.773389,USER_000546,User 000546,233317278530,TRANSFER,15.54,0.0,0.0,198.86,183.32,233433002352,Recipient_00481,ACCT_1688340,0,legitimate,0,False
2024-01-01 00:50:14.261388,USER_001365,User 001365,233321700784,TRANSFER,9.09,0.0,0.0,60.85,51.76,233407044430,Recipient_00217,ACCT_6095323,0,legitimate,0,False
2024-01-01 00:50:31.000000,USER_001828,User 001828,233504012110,PAYMENT,4.69,0.0,0.0,200.4,195.71,0,Vodafone,ACCT_40440529,0,legitimate,0,False
2024-01-01 00:57:05.827107,USER_001078,User 001078,233517680843,TRANSFER,6.73,0.0,0.0,187.89,181.16,233256028284,Recipient_00212,ACCT_73470872,0,legitimate,0,False
2024-01-01 00:57:08.323849,USER_001895,User 001895,233424017922,DEBIT,2.03,0.0,0.0,294.72,292.69,0,MTN,ACCT_59670504,0,legitimate,0,False
2024-01-01 00:58:00.820890,USER_001966,User 001966,233206318207,TRANSFER,30.71,0.0,0.0,96.92,66.21,233369416355,Recipient_00359,ACCT_50149218,0,account_takeover,0,False
2024-01-01 01:01:18.608615,USER_001986,User 001986,233296612644,TRANSFER,17.86,0.0,0.0,261.08,243.22,233532105208,Recipient_00381,ACCT_34541060,0,sim_swap,1,False
2024-01-01 01:02:25.000000,USER_001991,User 001991,233338354861,PAYMENT_SEND,12.05,0.0,0.0,234.64,222.59,233493919350,Recipient_00307,ACCT_51061538,0,social_engineering,1,False
2024-01-01 01:04:21.599584,USER_001991,User 001991,233338354861,TRANSFER,41.35,0.0,0.0,162.03,120.68,233493919350,Recipient_00307,ACCT_51061538,0,social_engineering,1,False
2024-01-01 01:06:30.000000,USER_001017,User 001017,233510767593,PAYMENT_SEND,16.57,0.0,0.0,126.14,109.57,233370229239,Recipient_00369,ACCT_6640280,0,legitimate,1,False
2024-01-01 01:07:15.220758,USER_001895,User 001895,233424017922,TRANSFER,16.03,0.0,0.0,185.07,169.04,233550599415,Recipient_00234,ACCT_27868988,0,legitimate,1,False
2024-01-01 01:08:34.846539,USER_001936,User 001936,233338561862,TRANSFER,64.0944437769108,0.0,0.0,64.09,0.0,233477619835,Recipient_00383,ACCT_58732255,0,sim_swap,1,False
2024-01-01 01:14:35.118518,USER_001938,User 001938,233505666425,TRANSFER,6.618826720928652,0.0,0.0,6.62,0.0,233423581565,Recipient_00286,ACCT_27518971,0,sim_swap,1,False
2024-01-01 01:16:54.599584,USER_001991,User 001991,233338354861,DEBIT,3.8,0.0,0.0,165.83,162.03,0,hubtel.sp,ACCT_67293833,0,social_engineering,1,False
2024-01-01 01:17:46.149874,USER_001365,User 001365,233321700784,TRANSFER,17.95,0.0,0.0,78.8,60.85,233414706362,Recipient_00306,ACCT_12831523,0,legitimate,1,False
2024-01-01 01:18:51.644429,USER_001915,User 001915,233397431766,TRANSFER,12.09,0.0,0.0,83.31,71.22,233588139357,Recipient_00410,ACCT_79628520,0,social_engineering,1,False
2024-01-01 01:20:25.757277,USER_000675,User 000675,233327051184,CASH_OUT,13.74,0.0,0.0,77.07,63.33,233519413201,Recipient_00462,ACCT_18509248,0,legitimate,1,False
2024-01-01 01:20:28.180016,USER_000894,User 000894,233330386089,CASH_OUT,6.5,0.0,0.0,231.84,225.34,233583131726,Recipient_00080,ACCT_7576888,0,legitimate,1,False
2024-01-01 01:20:47.911105,USER_000892,User 000892,233506373037,CASH_IN,170.20846540736798,0.0,0.0,24.62,194.83,0,AirtelTigo,ACCT_60585198,0,legitimate,1,False
2024-01-01 01:23:06.419413,USER_001032,User 001032,233232837329,TRANSFER,52.192418548071984,0.0,0.0,70.93,18.74,233385347833,Recipient_00317,ACCT_58618393,0,legitimate,1,False
2024-01-01 01:24:28.542827,USER_000714,User 000714,233383456460,PAYMENT,3.31,0.0,0.0,499.81,496.5,0,MTN,ACCT_59670504,0,legitimate,1,False
2024-01-01 01:27:22.836459,USER_000495,User 000495,233217342056,TRANSFER,21.2,0.0,0.0,299.82,278.62,233399143221,Recipient_00126,ACCT_64227832,0,legitimate,1,False
2024-01-01 01:30:57.220671,USER_001950,User 001950,233542209242,DEBIT,22.92,0.0,0.0,239.89,216.97,0,uber.sp,ACCT_57863864,0,social_engineering,1,False
2024-01-01 01:31:35.503767,USER_001950,User 001950,233542209242,TRANSFER,19.64,0.0,0.0,190.73,171.09,233495578654,Recipient_00357,ACCT_83334489,0,social_engineering,1,False
2024-01-01 01:31:42.481310,USER_000468,User 000468,233270440770,DEBIT,6.92,0.0,0.0,37.6,30.68,0,MTN,ACCT_59670504,0,legitimate,1,False
2024-01-01 01:32:59.913664,USER_001249,User 001249,233340673029,TRANSFER,23.45,0.0,0.0,234.8,211.35,233559217220,Recipient_00243,ACCT_8231946,0,legitimate,1,False
2024-01-01 01:35:04.248008,USER_001950,User 001950,233542209242,PAYMENT_SEND,3.43,0.0,0.0,194.16,190.73,233495578654,Recipient_00357,ACCT_83334489,0,social_engineering,1,False
2024-01-01 01:39:07.798619,USER_001107,User 001107,233383620271,TRANSFER,31.83,0.0,0.0,330.31,298.48,233554075307,Recipient_00079,ACCT_88021868,0,legitimate,1,False
